1000APD_0	394APD_0	602.634539067446
1001APD_0	1001APD_0	28483.0
1001APD_0	1298APD_0	13211.0
1001APD_0	1298APD_0	13256.0
1001APD_0	1298APD_0	13388.0
1001APD_0	1298APD_0	13400.0
1001APD_0	137APD_0	36349.0
1001APD_0	2012APD_0	13971.0
1001APD_0	2012APD_0	14103.0
1001APD_0	214APD_0	18678.0
1001APD_0	2207APD_0	12451.0
1001APD_0	2207APD_0	14666.0
1001APD_0	2207APD_0	14738.0
1001APD_0	2207APD_0	14741.0
1001APD_0	2207APD_0	14750.0
1001APD_0	2207APD_0	14825.0
1001APD_0	2207APD_0	14846.0
1001APD_0	2207APD_0	15040.0
1001APD_0	2232APD_0	18929.0
1001APD_0	2232APD_0	8103.0
1001APD_0	2232APD_0	9150.0
1001APD_0	2232APD_0	9193.0
1001APD_0	2232APD_0	9251.0
1001APD_0	2232APD_0	9258.0
1001APD_0	2232APD_0	9268.0
1001APD_0	2232APD_0	9297.0
1001APD_0	2232APD_0	9329.0
1001APD_0	236APD_0	19993.0
1001APD_0	236APD_0	21215.0
1001APD_0	236APD_0	21266.0
1001APD_0	236APD_0	21387.0
1001APD_0	298APD_0	17135.0
1001APD_0	298APD_0	17177.0
1001APD_0	298APD_0	17183.0
1001APD_0	298APD_0	17278.0
1001APD_0	298APD_0	17305.0
1001APD_0	401APD_0	31004.0
1001APD_0	416APD_0	29143.0
1001APD_0	416APD_0	686.0
1001APD_0	457APD_0	37473.0
1001APD_0	537APD_0	25164.0
1001APD_0	537APD_0	25204.0
1001APD_0	868APD_0	22964.0
1001APD_0	868APD_0	3749.0
1001APD_0	868APD_0	3781.5583946833735
1001APD_0	868APD_0	3783.0
1001APD_0	868APD_0	3783.0
1001APD_0	868APD_0	3786.0
1001APD_0	868APD_0	3790.0
1001APD_0	868APD_0	3790.0
1001APD_0	868APD_0	3793.0
1001APD_0	868APD_0	3794.0
1001APD_0	868APD_0	3794.0
1001APD_0	868APD_0	3796.0
1001APD_0	868APD_0	3797.0
1001APD_0	868APD_0	3799.0
1001APD_0	868APD_0	3799.0
1001APD_0	868APD_0	3801.0
1001APD_0	868APD_0	3802.0
1002APD_0	1114APD_0	203105.0
1002APD_0	113APD_0	236497.0
1002APD_0	1181APD_0	17783.0
1002APD_0	1181APD_0	17894.0
1002APD_0	1181APD_0	18012.0
1002APD_0	1181APD_0	18060.0
1002APD_0	1181APD_0	18062.0
1002APD_0	1181APD_0	18070.0
1002APD_0	1181APD_0	18131.0
1002APD_0	1191APD_0	81531.0
1002APD_0	1191APD_0	82903.0
1002APD_0	1208APD_0	208193.0
1002APD_0	1240APD_0	38698.0
1002APD_0	1240APD_0	39424.0
1002APD_0	1276APD_0	95163.0
1002APD_0	1276APD_0	96525.0
1002APD_0	1285APD_0	221447.0
1002APD_0	132APD_0	267958.0
1002APD_0	1368APD_0	30055.0
1002APD_0	1368APD_0	30712.0
1002APD_0	1386APD_0	8845.0
1002APD_0	1386APD_0	8877.0
1002APD_0	1386APD_0	9046.0
1002APD_0	1386APD_0	9046.0
1002APD_0	1386APD_0	9051.0
1002APD_0	1386APD_0	9052.0
1002APD_0	1386APD_0	9102.0
1002APD_0	1386APD_0	9114.0
1002APD_0	1386APD_0	9118.0
1002APD_0	1386APD_0	9162.0
1002APD_0	1416APD_0	83019.0
1002APD_0	1416APD_0	84362.0
1002APD_0	1441APD_0	46793.0
1002APD_0	1441APD_0	47705.0
1002APD_0	1510APD_0	205993.0
1002APD_0	1572APD_0	162035.0
1002APD_0	1599APD_0	116458.0
1002APD_0	1634APD_0	92409.0
1002APD_0	1634APD_0	93703.0
1002APD_0	1706APD_0	80522.0
