1000APD	394APD	-2285.634539067446
1001APD	1001APD	28484.0
1001APD	100APD	53816.0
1001APD	1046APD	151294.0
1001APD	10APD	13986.0
1001APD	10APD	14119.0
1001APD	10APD	14261.0
1001APD	10APD	14388.0
1001APD	10APD	14444.0
1001APD	10APD	14523.0
1001APD	10APD	14529.0
1001APD	10APD	14548.0
1001APD	10APD	14998.0
1001APD	1130APD	126368.0
1001APD	1133APD	135465.0
1001APD	1298APD	-10014.0
1001APD	1298APD	-10059.0
1001APD	1298APD	-10191.0
1001APD	1298APD	-10203.0
1001APD	1331APD	38825.0
1001APD	137APD	-33663.0
1001APD	1418APD	19559.0
1001APD	1418APD	19725.0
1001APD	1418APD	19770.0
1001APD	1488APD	25745.0
1001APD	1488APD	26085.0
1001APD	1496APD	10722.0
1001APD	1496APD	10743.0
1001APD	1496APD	10826.0
1001APD	1496APD	10868.0
1001APD	1501APD	30761.0
1001APD	1501APD	31034.0
1001APD	1550APD	151992.0
1001APD	1553APD	128947.0
1001APD	1558APD	95231.0
1001APD	1559APD	17349.0
1001APD	1559APD	17566.0
1001APD	1561APD	77644.0
1001APD	1648APD	38152.0
1001APD	1656APD	9607.0
1001APD	1656APD	9636.0
1001APD	1656APD	9668.0
1001APD	1656APD	9698.0
1001APD	1656APD	9732.0
1001APD	1666APD	90506.0
1001APD	169APD	27171.0
1001APD	169APD	27517.0
1001APD	1700APD	18312.0
1001APD	1700APD	18457.0
1001APD	1700APD	18612.0
1001APD	1718APD	11997.0
1001APD	1718APD	12041.0
1001APD	1718APD	12111.0
1001APD	1718APD	12139.0
1001APD	1718APD	12168.0
1001APD	1802APD	17831.0
1001APD	1802APD	18136.0
1001APD	2012APD	-10501.0
1001APD	2012APD	-10633.0
1001APD	2067APD	88636.0
1001APD	214APD	-23090.0
1001APD	2207APD	-11132.0
1001APD	2207APD	-13347.0
1001APD	2207APD	-13419.0
1001APD	2207APD	-13422.0
1001APD	2207APD	-13431.0
1001APD	2207APD	-13506.0
1001APD	2207APD	-13527.0
1001APD	2207APD	-13721.0
1001APD	2207APD	14765.0
1001APD	2207APD	17714.0
1001APD	2232APD	-19198.0
1001APD	2232APD	-8372.0
1001APD	2232APD	-9419.0
1001APD	2232APD	-9462.0
1001APD	2232APD	-9520.0
1001APD	2232APD	-9527.0
1001APD	2232APD	-9537.0
1001APD	2232APD	-9566.0
1001APD	2232APD	-9598.0
1001APD	2232APD	20624.0
1001APD	2232APD	9295.0
1001APD	2241APD	87607.0
1001APD	2246APD	72199.0
1001APD	2258APD	23070.0
1001APD	2258APD	23384.0
1001APD	2258APD	23499.0
1001APD	2270APD	154191.0
1001APD	2352APD	7790.0
1001APD	2352APD	7826.0
1001APD	2352APD	7844.0
1001APD	2352APD	7851.0
1001APD	236APD	-20132.0
1001APD	236APD	-21354.0
1001APD	236APD	-21405.0
1001APD	236APD	-21526.0
1001APD	2443APD	123706.0
1001APD	2451APD	105669.0
