1000APD	394APD	-2284.634539067446
1001APD	1001APD	28483.0
1001APD	100APD	53815.0
1001APD	1046APD	151293.0
1001APD	10APD	13985.0
1001APD	10APD	14118.0
1001APD	10APD	14260.0
1001APD	10APD	14387.0
1001APD	10APD	14443.0
1001APD	10APD	14522.0
1001APD	10APD	14528.0
1001APD	10APD	14547.0
1001APD	10APD	14997.0
1001APD	1130APD	126367.0
1001APD	1133APD	135464.0
1001APD	1298APD	-10013.0
1001APD	1298APD	-10058.0
1001APD	1298APD	-10190.0
1001APD	1298APD	-10202.0
1001APD	1331APD	38824.0
1001APD	137APD	-33662.0
1001APD	1418APD	19558.0
1001APD	1418APD	19724.0
1001APD	1418APD	19769.0
1001APD	1488APD	25744.0
1001APD	1488APD	26084.0
1001APD	1496APD	10721.0
1001APD	1496APD	10742.0
1001APD	1496APD	10825.0
1001APD	1496APD	10867.0
1001APD	1501APD	30760.0
1001APD	1501APD	31033.0
1001APD	1550APD	151991.0
1001APD	1553APD	128946.0
1001APD	1558APD	95230.0
1001APD	1559APD	17348.0
1001APD	1559APD	17565.0
1001APD	1561APD	77643.0
1001APD	1648APD	38151.0
1001APD	1656APD	9606.0
1001APD	1656APD	9635.0
1001APD	1656APD	9667.0
1001APD	1656APD	9697.0
1001APD	1656APD	9731.0
1001APD	1666APD	90505.0
1001APD	169APD	27170.0
1001APD	169APD	27516.0
1001APD	1700APD	18311.0
1001APD	1700APD	18456.0
1001APD	1700APD	18611.0
1001APD	1718APD	11996.0
1001APD	1718APD	12040.0
1001APD	1718APD	12110.0
1001APD	1718APD	12138.0
1001APD	1718APD	12167.0
1001APD	1802APD	17830.0
1001APD	1802APD	18135.0
1001APD	2012APD	-10500.0
1001APD	2012APD	-10632.0
1001APD	2067APD	88635.0
1001APD	214APD	-23089.0
1001APD	2207APD	-11131.0
1001APD	2207APD	-13346.0
1001APD	2207APD	-13418.0
1001APD	2207APD	-13421.0
1001APD	2207APD	-13430.0
1001APD	2207APD	-13505.0
1001APD	2207APD	-13526.0
1001APD	2207APD	-13720.0
1001APD	2207APD	14764.0
1001APD	2207APD	17713.0
1001APD	2232APD	-19197.0
1001APD	2232APD	-8371.0
1001APD	2232APD	-9418.0
1001APD	2232APD	-9461.0
1001APD	2232APD	-9519.0
1001APD	2232APD	-9526.0
1001APD	2232APD	-9536.0
1001APD	2232APD	-9565.0
1001APD	2232APD	-9597.0
1001APD	2232APD	20623.0
1001APD	2232APD	9294.0
1001APD	2241APD	87606.0
1001APD	2246APD	72198.0
1001APD	2258APD	23069.0
1001APD	2258APD	23383.0
1001APD	2258APD	23498.0
1001APD	2270APD	154190.0
1001APD	2352APD	7789.0
1001APD	2352APD	7825.0
1001APD	2352APD	7843.0
1001APD	2352APD	7850.0
1001APD	236APD	-20131.0
1001APD	236APD	-21353.0
1001APD	236APD	-21404.0
1001APD	236APD	-21525.0
1001APD	2443APD	123705.0
1001APD	2451APD	105668.0
1001APD	262APD	156858.0
1001APD	272APD	15209.0
1001APD	272APD	15339.0
1001APD	272APD	15467.0
1001APD	272APD	15597.0
1001APD	272APD	15654.0
1001APD	272APD	15745.0
1001APD	272APD	15797.0
1001APD	272APD	16195.0
1001APD	297APD	34772.0
1001APD	298APD	-17363.0
1001APD	298APD	-17405.0
1001APD	298APD	-17411.0
1001APD	298APD	-17506.0
1001APD	298APD	-17533.0
1001APD	323APD	143133.0
1001APD	330APD	107074.0
1001APD	388APD	130741.0
1001APD	388APD	27965.0
1001APD	401APD	-32546.0
1001APD	416APD	-29242.0
1001APD	416APD	-785.0
1001APD	416APD	31616.0
1001APD	416APD	3416.0
1001APD	416APD	3932.0
1001APD	416APD	3936.307504931929
1001APD	416APD	3938.0
1001APD	416APD	3940.0
1001APD	416APD	3940.0
1001APD	416APD	3940.0
1001APD	416APD	3940.0
1001APD	416APD	3942.0
1001APD	416APD	3943.0
1001APD	416APD	3943.0
1001APD	416APD	3944.0
1001APD	416APD	3948.0
1001APD	416APD	3949.0
1001APD	416APD	3950.0
1001APD	416APD	4619.0
1001APD	426APD	43370.0
1001APD	437APD	158627.0
1001APD	457APD	-40376.0
1001APD	479APD	162529.0
1001APD	493APD	45576.0
1001APD	496APD	42157.0
1001APD	532APD	22237.0
1001APD	532APD	22561.0
1001APD	532APD	22653.0
1001APD	537APD	-26689.0
1001APD	537APD	-26729.0
1001APD	552APD	101449.0
1001APD	582APD	33298.0
1001APD	582APD	33570.0
1001APD	635APD	136860.0
1001APD	695APD	51525.0
1001APD	721APD	98201.0
1001APD	749APD	40825.0
1001APD	7APD	32117.0
1001APD	7APD	32400.0
1001APD	851APD	86010.0
1001APD	85APD	23223.0
1001APD	85APD	23397.0
1001APD	85APD	23717.0
1001APD	85APD	23822.0
1001APD	868APD	-24659.0
1001APD	868APD	-5444.0
1001APD	868APD	-5476.558394683373
1001APD	868APD	-5478.0
1001APD	868APD	-5478.0
1001APD	868APD	-5481.0
1001APD	868APD	-5485.0
1001APD	868APD	-5485.0
1001APD	868APD	-5488.0
1001APD	868APD	-5489.0
1001APD	868APD	-5489.0
1001APD	868APD	-5491.0
1001APD	868APD	-5492.0
1001APD	868APD	-5494.0
1001APD	868APD	-5494.0
1001APD	868APD	-5496.0
1001APD	868APD	-5497.0
1001APD	868APD	24128.0
1001APD	868APD	3847.0
1001APD	872APD	8896.0
1001APD	872APD	8912.0
1001APD	872APD	8938.0
1001APD	872APD	8965.0
1001APD	872APD	8991.0
1001APD	872APD	9015.0
1001APD	912APD	133279.0
1001APD	985APD	31676.0
1002APD	1003APD	11510.0
1002APD	1003APD	11513.0
1002APD	1003APD	11583.0
1002APD	1003APD	11586.0
1002APD	1003APD	11587.0
1002APD	1003APD	11592.0
1002APD	1003APD	11629.0
1002APD	1003APD	11636.0
1002APD	1035APD	30675.0
1002APD	1035APD	30707.0
1002APD	1114APD	-204275.0
1002APD	113APD	-245229.0
1002APD	1181APD	-18970.0
1002APD	1181APD	-19081.0
1002APD	1181APD	-19199.0
1002APD	1181APD	-19247.0
1002APD	1181APD	-19249.0
1002APD	1181APD	-19257.0
1002APD	1181APD	-19318.0
1002APD	1191APD	-81244.0
1002APD	1191APD	-82616.0
1002APD	1195APD	1758.0
1002APD	1195APD	1772.0
1002APD	1195APD	1773.0
1002APD	1195APD	1774.0
1002APD	1195APD	1776.0
1002APD	1195APD	1776.0
1002APD	1195APD	1777.0
1002APD	1195APD	1777.0
1002APD	1195APD	1781.0
1002APD	1195APD	1782.0
1002APD	1195APD	1783.0
1002APD	1195APD	1783.0
1002APD	1195APD	1786.0
1002APD	1195APD	1786.0
1002APD	1195APD	1790.0
1002APD	1195APD	1794.913696068455
1002APD	1195APD	1795.0
